description;wnid
washbasin;n04553920
basin;n04553920
washbowl;n04553920
washstand;n04553920
lavatory;n04553920
washboard;n04554211
splashboard;n04554211
washboard;n04554406
washcloth;n04554523
washrag;n04554523
flannel;n04554523
face cloth;n04554523
washer;n04554684
automatic washer;n04554684
washing machine;n04554684
washer;n04554871
washhouse;n04554998
washington monument;n04555101
washroom;n04555291
washstand;n04555400
wash-hand stand;n04555400
washtub;n04555600
wastepaper basket;n04555700
waste-paper basket;n04555700
wastebasket;n04555700
waste basket;n04555700
circular file;n04555700
watch;n04555897
ticker;n04555897
watchband;n04556204
watchstrap;n04556204
wristband;n04556204
watch bracelet;n04556204
bracelet;n04556204
watch cap;n04556408
watch case;n04556533
watch glass;n04556664
watch key;n04556816
watchtower;n04556948
water back;n04557111
water-base paint;n04557308
water bed;n04557522
water bottle;n04557648
water butt;n04557751
water cannon;n04557872
watercannon;n04557872
water cart;n04558059
water chute;n04558199
water clock;n04558347
clepsydra;n04558347
water glass;n04558347
water closet;n04558478
closet;n04558478
w.c.;n04558478
loo;n04558478
watercolor;n04558578
water-color;n04558578
watercolour;n04558578
water-colour;n04558578
watercolor;n04558804
water-color;n04558804
watercolour;n04558804
water-colour;n04558804
water-cooled reactor;n04559023
water cooler;n04559166
watercourse;n04559275
waterway;n04559275
water faucet;n04559451
water tap;n04559451
tap;n04559451
hydrant;n04559451
water filter;n04559620
water gauge;n04559730
water gage;n04559730
water glass;n04559730
water glass;n04559910
water hazard;n04559994
water heater;n04560113
hot-water heater;n04560113
hot-water tank;n04560113
watering can;n04560292
watering pot;n04560292
watering cart;n04560502
water jacket;n04560619
water jug;n04560804
water jump;n04560882
water level;n04561010
water main;n04561167
water meter;n04561287
water mill;n04561422
water pistol;n04561548
water gun;n04561548
squirt gun;n04561548
squirter;n04561548
waterproof;n04561734
waterproofing;n04561857
water pump;n04561965
water scooter;n04562122
sea scooter;n04562122
scooter;n04562122
water ski;n04562262
waterskin;n04562390
water skin;n04562390
waterspout;n04562496
water system;n04562658
water supply;n04562658
water;n04562658
water tower;n04562935
water wagon;n04563020
water waggon;n04563020
waterwheel;n04563204
water wheel;n04563204
waterwheel;n04563413
water wheel;n04563413
water wings;n04563560
waterworks;n04563790
wats;n04563942
wats line;n04563942
wattle;n04564118
wattmeter;n04564278
waveguide;n04564413
wave guide;n04564413
waxwork;n04564581
wax figure;n04564581
way;n04564698
ways;n04565039
shipway;n04565039
slipway;n04565039
wayside;n04565233
roadside;n04565233
weapon;n04565375
arm;n04565375
weapon system;n04565375
weapon of mass destruction;n04565963
wmd;n04565963
w.m.d.;n04565963
weaponry;n04566257
arms;n04566257
implements of war;n04566257
weapons system;n04566257
munition;n04566257
weapons carrier;n04566561
weathercock;n04566756
weather deck;n04566862
shelter deck;n04566862
weatherglass;n04567098
weather map;n04567222
weather chart;n04567222
weather radar;n04567480
weather satellite;n04567593
meteorological satellite;n04567593
weather ship;n04567746
weather strip;n04567870
weatherstrip;n04567870
weather stripping;n04567870
weatherstripping;n04567870
weathervane;n04568069
weather vane;n04568069
vane;n04568069
wind vane;n04568069
weave;n04568298
web;n04568557
entanglement;n04568557
web;n04568713
webbing;n04568841
webbing;n04568944
webcam;n04569063
wedding picture;n04569205
wedding ring;n04569338
wedding band;n04569338
wedge;n04569520
wedge;n04569822
wedge heel;n04569983
wedge;n04569983
wedgie;n04570118
wedgwood;n04570214
weeder;n04570416
weed-whacker;n04570416
weeds;n04570532
widow's weeds;n04570532
weed;n04570680
mourning band;n04570680
weekender;n04570815
weighbridge;n04570958
weight;n04571088
weight;n04571292
free weight;n04571292
exercising weight;n04571292
weir;n04571566
weir;n04571686
welcome wagon;n04571800
weld;n04571958
welder's mask;n04572121
weldment;n04572235
well;n04572344
well;n04572559
well;n04572800
well;n04572935
wellhead;n04573045
well point;n04573129
wellpoint;n04573129
welt;n04573281
weston cell;n04573379
cadmium cell;n04573379
wet bar;n04573513
wet-bulb thermometer;n04573625
wet cell;n04573832
wet fly;n04573937
wet suit;n04574067
whacker;n04574234
whopper;n04574234
whaleboat;n04574348
whaler;n04574471
whaling ship;n04574471
whaling gun;n04574606
wheatstone bridge;n04574761
wheat future;n04574861
wheel;n04574999
wheel;n04575723
wheel and axle;n04575824
wheelchair;n04576002
wheeled vehicle;n04576211
wheel lock;n04576861
wheelwork;n04576971
wherry;n04577139
wherry;n04577293
norfolk wherry;n04577293
whetstone;n04577426
whiffletree;n04577567
whippletree;n04577567
swingletree;n04577567
whip;n04577769
whipcord;n04578112
whipcord;n04578220
whipping post;n04578329
whipping top;n04578459
whip top;n04578459
whipstitch;n04578559
whipping;n04578559
whipstitching;n04578559
whirler;n04578708
whisk;n04578801
whisk broom;n04578801
whisk;n04578934
whiskey bottle;n04579056
whiskey jug;n04579145
whispering gallery;n04579230
whispering dome;n04579230
whistle;n04579432
whistle;n04579667
whistle stop;n04579795
flag stop;n04579795
way station;n04579795
white;n04579986
white flag;n04580126
flag of truce;n04580126
white goods;n04580298
household linen;n04580298
white goods;n04580493
white house;n04580777
white tie;n04580994
whitewash;n04581102
whizbang;n04581262
whizzbang;n04581262
whizbang;n04581425
whizzbang;n04581425
whizbang shell;n04581425
whorehouse;n04581595
brothel;n04581595
bordello;n04581595
bagnio;n04581595
house of prostitution;n04581595
house of ill repute;n04581595
bawdyhouse;n04581595
cathouse;n04581595
sporting house;n04581595
wick;n04581829
taper;n04581829
wick;n04582044
wicker;n04582205
wickerwork;n04582205
caning;n04582205
wicker basket;n04582349
wicket;n04582454
lattice;n04582454
grille;n04582454
wicket;n04582625
wicket door;n04582625
wicket gate;n04582625
wicket;n04582771
hoop;n04582771
wicket;n04582869
wickiup;n04583022
wikiup;n04583022
wide-angle lens;n04583212
fisheye lens;n04583212
wide area network;n04583477
wan;n04583477
widebody aircraft;n04583620
wide-body aircraft;n04583620
wide-body;n04583620
twin-aisle airplane;n04583620
wide screen;n04583776
wide wale;n04583888
widow's walk;n04583967
wiffle;n04584056
wiffle ball;n04584056
wig;n04584207
wigwam;n04584373
wild card;n04584512
wildcat well;n04584639
wildcat;n04584639
willow;n04584794
willowware;n04584944
willow-pattern;n04584944
wilton;n04585128
wilton carpet;n04585128
wimple;n04585318
wincey;n04585456
winceyette;n04585626
winch;n04585745
windlass;n04585745
winchester;n04585980
windbreak;n04586072
shelterbelt;n04586072
wind chime;n04586225
wind bell;n04586225
winder;n04586421
winder;n04586581
key;n04586581
wind farm;n04586761
wind park;n04586761
wind energy facility;n04586761
wind instrument;n04586932
wind;n04586932
windjammer;n04587327
windmill;n04587404
aerogenerator;n04587404
wind generator;n04587404
windmill;n04587559
window;n04587648
window;n04588365
window;n04588587
window;n04588739
window;n04588986
window blind;n04589190
window box;n04589325
window envelope;n04589434
window frame;n04589593
windowpane;n04589745
window;n04589745
window screen;n04589890
window seat;n04590021
window shade;n04590129
windowsill;n04590263
wind rose;n04590416
windshield;n04590553
windscreen;n04590553
windshield wiper;n04590746
windscreen wiper;n04590746
wiper;n04590746
wiper blade;n04590746
windsor chair;n04590933
windsor knot;n04591056
windsor tie;n04591157
wind tee;n04591249
wind tunnel;n04591359
wind turbine;n04591517
wine bar;n04591631
wine bottle;n04591713
wine bucket;n04591887
wine cooler;n04591887
wine cask;n04592005
wine barrel;n04592005
wineglass;n04592099
wineglass heel;n04592243
winepress;n04592356
winery;n04592465
wine maker;n04592465
wineskin;n04592596
wing;n04592741
wing;n04592962
offstage;n04592962
backstage;n04592962
wing chair;n04593077
wing nut;n04593185
wing-nut;n04593185
wing screw;n04593185
butterfly nut;n04593185
thumbnut;n04593185
wing tip;n04593376
wing tip;n04593524
winker;n04593629
blinker;n04593629
blinder;n04593629
wiper;n04593866
wiper arm;n04593866
contact arm;n04593866
wiper motor;n04594114
wire;n04594218
wire;n04594489
conducting wire;n04594489
wire cloth;n04594742
wire cutter;n04594828
wire gauge;n04594919
wire gage;n04594919
wireless local area network;n04595028
wlan;n04595028
wireless fidelity;n04595028
wifi;n04595028
wire matrix printer;n04595285
wire printer;n04595285
stylus printer;n04595285
wire recorder;n04595501
wire stripper;n04595611
wirework;n04595762
grillwork;n04595762
wiring;n04595855
wiring diagram;n04595998
wishing cap;n04596116
witch hazel;n04596224
wych hazel;n04596224
withe;n04596397
witness box;n04596492
witness stand;n04596492
wobbler;n04596630
wok;n04596742
woman's clothing;n04596852
wood;n04597066
woodcarving;n04597309
wood chisel;n04597400
woodcut;n04597536
wood block;n04597536
wood engraving;n04597536
woodcut;n04597706
wood engraving;n04597706
woodenware;n04597804
wooden spoon;n04597913
wooden spoon;n04598010
woodscrew;n04598136
woodshed;n04598318
wood vise;n04598416
woodworking vise;n04598416
shoulder vise;n04598416
woodwind;n04598582
woodwind instrument;n04598582
wood;n04598582
woodwork;n04598792
woof;n04598965
weft;n04598965
filling;n04598965
pick;n04598965
woofer;n04599124
wool;n04599235
woolen;n04599235
woollen;n04599235
work;n04599396
piece of work;n04599396
worldly possession;n04600131
worldly good;n04600131
workbasket;n04600312
workbox;n04600312
workbag;n04600312
workbench;n04600486
work bench;n04600486
bench;n04600486
workboard;n04600627
work-board;n04600627
work camp;n04600764
prison camp;n04600764
prison farm;n04600764
work-clothing;n04600912
work-clothes;n04600912
workhouse;n04601041
workhouse;n04601159
workhorse;n04601291
working;n04601473
workings;n04601473
work in progress;n04601587
work of art;n04601690
workpiece;n04601938
workplace;n04602044
work;n04602044
workroom;n04602762
works;n04602840
workings;n04602840
work-shirt;n04602956
workshop;n04603081
shop;n04603081
workstation;n04603399
work surface;n04603558
worktable;n04603729
work table;n04603729
workwear;n04603872
world trade center;n04604009
wtc;n04604009
twin towers;n04604009
world wide web;n04604276
www;n04604276
web;n04604276
worm;n04604513
worm fence;n04604644
snake fence;n04604644
snake-rail fence;n04604644
virginia fence;n04604644
worm gear;n04604806
worm wheel;n04605057
worsted;n04605163
worsted;n04605321
worsted yarn;n04605321
wrap;n04605446
wrapper;n04605446
wraparound;n04605572
wrapping;n04605726
wrap;n04605726
wrapper;n04605726
wreath;n04606014
garland;n04606014
coronal;n04606014
chaplet;n04606014
lei;n04606014
wreck;n04606251
wreckage;n04606358
wrench;n04606574
spanner;n04606574
wrestling mat;n04607035
wrestling ring;n04607141
wringer;n04607242
wristband;n04607398
wristlet;n04607532
wrist band;n04607532
wrist pad;n04607640
wrist pin;n04607759
gudgeon pin;n04607759
wristwatch;n04607869
wrist watch;n04607869
writing arm;n04607982
writing board;n04608127
writing desk;n04608329
writing desk;n04608435
writing implement;n04608567
xerographic printer;n04608809
xerox;n04608923
xerographic copier;n04608923
xerox machine;n04608923
xerox;n04609235
xerox copy;n04609235
x-or circuit;n04609354
xor circuit;n04609354
xor gate;n04609354
x-ray film;n04609531
x-ray machine;n04609651
x-ray tube;n04609811
yacht;n04610013
racing yacht;n04610013
yacht chair;n04610176
yagi;n04610274
yagi aerial;n04610274
yale university;n04610368
yale;n04610368
yard;n04610503
yard;n04610676
yard;n04610879
grounds;n04610879
curtilage;n04610879
yard;n04611154
railway yard;n04611154
railyard;n04611154
yardarm;n04611351
yarder;n04611470
yard donkey;n04611470
yard goods;n04611654
piece goods;n04611654
yard marker;n04611795
yardstick;n04611916
yard measure;n04611916
yarmulke;n04612026
yarmulka;n04612026
yarmelke;n04612026
yashmak;n04612159
yashmac;n04612159
yataghan;n04612257
yawl;n04612373
dandy;n04612373
yawl;n04612504
yellow jack;n04612623
yield;n04612722
fruit;n04612722
yoke;n04612840
yoke;n04613015
yoke;n04613158
coupling;n04613158
yoke;n04613350
yo-yo;n04613555
yurt;n04613696
zamboni;n04613939
zapper;n04614083
zarf;n04614244
zeppelin;n04614372
graf zeppelin;n04614372
zero;n04614505
ziggurat;n04614655
zikkurat;n04614655
zikurat;n04614655
zill;n04614844
zinc ointment;n04615018
zip gun;n04615149
zither;n04615226
cither;n04615226
zithern;n04615226
zodiac;n04615456
zoot suit;n04615644
ramp;n04615728
human nature;n04615866
trait;n04616059
character;n04616916
unit character;n04617106
thing;n04617289
common denominator;n04617441
personality;n04617562
identity;n04618070
personal identity;n04618070
individuality;n04618070
gender identity;n04618359
identification;n04618581
personhood;n04618781
personableness;n04618921
anal personality;n04619083
anal retentive personality;n04619083
genital personality;n04619420
narcissistic personality;n04619596
obsessive-compulsive personality;n04619791
oral personality;n04619946
character;n04620216
fiber;n04620216
fibre;n04620216
spirit;n04620558
outwardness;n04620741
inwardness;n04621010
internality;n04621010
spirituality;n04621314
spiritualism;n04621314
spiritism;n04621314
otherworldliness;n04621314
worldliness;n04621524
extraversion;n04621738
extroversion;n04621738
introversion;n04621963
ambiversion;n04622216
aloneness;n04622415
loneliness;n04622415
lonesomeness;n04622415
solitariness;n04622415
friendlessness;n04622672
reclusiveness;n04622772
privacy;n04622932
privateness;n04622932
seclusion;n04622932
nature;n04623113
animality;n04623443
animal nature;n04623443
disposition;n04623612
temperament;n04623612
complexion;n04624289
animalism;n04624517
physicality;n04624517
bloodiness;n04624687
bloodthirstiness;n04624687
heart;n04624826
spirit;n04624826
nervousness;n04624959
esprit de corps;n04625129
morale;n04625129
team spirit;n04625129
restlessness;n04625284
uneasiness;n04625284
queasiness;n04625284
jactitation;n04625515
jactation;n04625515
skittishness;n04625716
restiveness;n04625716
compulsiveness;n04625882
compulsivity;n04625882
obsessiveness;n04626062
obsessivity;n04626062
workaholism;n04626194
emotionality;n04626280
emotionalism;n04626280
drama;n04626705
demonstrativeness;n04626879
affectionateness;n04627000
fondness;n04627000
lovingness;n04627000
warmth;n04627000
tenderness;n04627241
uxoriousness;n04627367
mawkishness;n04627506
sentimentality;n04627506
drippiness;n04627506
mushiness;n04627506
soupiness;n04627506
sloppiness;n04627506
corn;n04627809
schmaltz;n04627936
shmaltz;n04627936
schmalz;n04627936
sentimentalism;n04628080
heat;n04628192
warmth;n04628192
passion;n04628192
fieriness;n04628336
temperament;n04628466
moodiness;n04628632
blood;n04628747
excitability;n04628850
excitableness;n04628850
volatility;n04628850
boiling point;n04629030
unemotionality;n04629194
emotionlessness;n04629194
blandness;n04629417
coldness;n04629604
coolness;n04629604
frigidity;n04629604
frigidness;n04629604
iciness;n04629604
chilliness;n04629604
stone;n04629958
dispassion;n04630137
dispassionateness;n04630137
dryness;n04630137
stoicism;n04630378
stolidity;n04630378
stolidness;n04630378
tepidness;n04630547
lukewarmness;n04630547
cheerfulness;n04630689
cheer;n04630689
sunniness;n04630689
sunshine;n04630689
good-temperedness;n04631067
good-humoredness;n04631067
good-humouredness;n04631067
good-naturedness;n04631067
uncheerfulness;n04631298
gloominess;n04631470
lugubriousness;n04631470
sadness;n04631470
animation;n04631700
spiritedness;n04631700
invigoration;n04631700
brio;n04631700
vivification;n04631700
chirpiness;n04632063
liveliness;n04632157
life;n04632157
spirit;n04632157
sprightliness;n04632157
pertness;n04632703
airiness;n04632866
delicacy;n04632866
alacrity;n04632963
briskness;n04632963
smartness;n04632963
energy;n04633197
muscularity;n04633197
vigor;n04633197
vigour;n04633197
vim;n04633197
